                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     40,                0.87188,                 1.6109,                0.97467,                 1.0244,                0.40414,                0.60122,                0.39468,                0.27453,                0.40108,                0.58286,                0.38049,                0.22716,                0.98521,                 2.0177,                 1.5806,                 1.1995,              0.0002278,              0.0002278,              0.0002278
                     41,                0.89496,                 1.6169,                0.92934,                  1.034,                0.37021,                0.64153,                0.39015,                0.27518,                0.36139,                 0.6254,                0.37776,                0.23042,                0.95851,                  2.009,                 1.6364,                 1.1932,               0.000208,               0.000208,               0.000208
                     42,                0.88728,                 1.6031,                0.90824,                 1.0329,                0.38236,                0.61425,                0.38862,                0.27363,                0.37566,                0.59003,                0.37362,                0.22583,                0.95574,                  2.019,                  1.592,                 1.1918,              0.0001882,              0.0001882,              0.0001882
                     43,                0.87682,                 1.5651,                0.88832,                 1.0225,                0.40433,                0.64117,                0.40528,                0.28663,                0.40139,                0.62574,                0.39215,                 0.2337,                0.96991,                 2.0612,                 1.6171,                 1.1971,              0.0001684,              0.0001684,              0.0001684
                     44,                0.87418,                 1.5521,                0.87791,                 1.0233,                0.39465,                0.63657,                0.40227,                0.28494,                0.38858,                0.61695,                  0.389,                0.23462,                0.96685,                 2.0339,                 1.5858,                 1.1996,              0.0001486,              0.0001486,              0.0001486
                     45,                0.85297,                 1.5261,                0.85252,                 1.0124,                0.36788,                0.60815,                0.37951,                0.26579,                0.36042,                0.59218,                0.36567,                0.21884,                0.97198,                 2.0273,                 1.6088,                 1.1942,              0.0001288,              0.0001288,              0.0001288
                     46,                0.84865,                 1.5072,                0.84151,                  1.006,                0.39867,                0.62755,                0.39869,                0.28425,                0.39194,                0.60672,                0.38384,                0.23409,                0.94949,                 2.0397,                 1.5967,                 1.1826,               0.000109,               0.000109,               0.000109
                     47,                0.84632,                 1.5094,                 0.8251,                 1.0053,                0.38908,                 0.6282,                0.39075,                0.27545,                0.37984,                0.60776,                 0.3742,                0.22663,                0.96052,                 2.0518,                 1.6376,                 1.1862,               8.92e-05,               8.92e-05,               8.92e-05
                     48,                0.83748,                 1.5071,                0.81801,                0.99981,                0.39966,                0.62098,                0.39709,                0.28304,                0.39096,                0.60182,                0.38455,                0.23125,                0.95235,                 2.0371,                 1.6393,                 1.1831,               6.94e-05,               6.94e-05,               6.94e-05
                     49,                0.83847,                 1.4938,                0.81502,                 1.0002,                0.40566,                 0.6222,                0.39812,                0.28439,                0.39711,                 0.6016,                0.38441,                0.23313,                0.94936,                 2.0482,                 1.6331,                 1.1828,               4.96e-05,               4.96e-05,               4.96e-05
                     50,                0.83385,                 1.4785,                0.80618,                 1.0006,                0.40167,                0.62583,                0.39484,                0.27857,                0.39423,                0.60798,                0.38182,                0.22958,                0.96074,                 2.0463,                  1.642,                 1.1848,               2.98e-05,               2.98e-05,               2.98e-05
