                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     41,                 1.0381,                 1.0182,                0.60366,                 1.1283,                0.90337,                0.86031,                0.91406,                0.64812,                0.89018,                 0.8469,                0.89934,                0.58991,                  1.022,                 1.0465,                0.65224,                 1.2468,             0.00017326,             0.00017326,             0.00017326
                     42,                 1.0174,                0.99578,                0.57739,                  1.117,                0.89606,                0.86718,                0.91459,                0.65219,                0.88773,                 0.8593,                0.90237,                0.59518,                 1.0185,                 1.0353,                0.63678,                  1.245,             0.00015677,             0.00015677,             0.00015677
                     43,                  1.008,                0.99689,                0.57082,                 1.1101,                0.90349,                0.86047,                0.91442,                0.64992,                 0.8919,                0.85834,                0.90324,                0.59421,                 1.0217,                 1.0447,                0.63844,                 1.2468,             0.00014028,             0.00014028,             0.00014028
                     44,                0.99853,                0.96933,                0.55503,                 1.1036,                0.90408,                0.86414,                0.91653,                0.65007,                0.88899,                 0.8523,                0.90202,                0.59352,                 1.0228,                  1.058,                0.64318,                 1.2429,             0.00012378,             0.00012378,             0.00012378
                     45,                 0.9907,                0.97024,                0.55112,                 1.0992,                0.89567,                0.87542,                0.91713,                0.65179,                0.88475,                0.86444,                0.90142,                0.59447,                 1.0173,                 1.0589,                 0.6372,                 1.2434,             0.00010729,             0.00010729,             0.00010729
                     46,                0.97827,                0.95626,                0.53798,                 1.0904,                0.89645,                0.87531,                0.91939,                0.65395,                0.88204,                0.87053,                0.90685,                0.59863,                 1.0162,                 1.0488,                0.63074,                 1.2469,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     47,                0.96943,                0.93259,                0.52572,                 1.0847,                0.90334,                 0.8635,                0.91731,                0.65238,                0.89422,                0.85472,                0.90608,                0.60037,                 1.0162,                 1.0477,                0.63604,                 1.2459,             7.4304e-05,             7.4304e-05,             7.4304e-05
                     48,                 0.9618,                0.93156,                0.52032,                 1.0834,                 0.9192,                0.84816,                0.91728,                0.65417,                0.91158,                0.83802,                0.90512,                0.60142,                 1.0162,                 1.0581,                0.63692,                 1.2481,              5.781e-05,              5.781e-05,              5.781e-05
                     49,                0.95412,                0.92584,                0.51478,                 1.0768,                0.89374,                0.87666,                0.91893,                0.65419,                0.88089,                0.86387,                0.90567,                 0.6022,                 1.0172,                  1.067,                0.63939,                 1.2493,             4.1317e-05,             4.1317e-05,             4.1317e-05
                     50,                0.94606,                0.92276,                0.50748,                 1.0746,                0.89811,                0.87966,                0.91891,                0.65564,                 0.8837,                0.86952,                0.90665,                0.59996,                 1.0196,                 1.0712,                0.63939,                 1.2526,             2.4823e-05,             2.4823e-05,             2.4823e-05
