                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.4024,                 1.4721,                 1.3518,                   1.57,                0.87654,                0.77466,                0.86186,                0.58495,                0.86712,                0.75888,                0.84124,                0.52419,                 1.1148,                  1.133,                0.95465,                 1.5327,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.3936,                 1.4612,                 1.3544,                 1.5673,                0.85147,                0.79851,                0.87017,                0.58799,                0.84032,                0.78079,                0.85034,                0.52752,                 1.1216,                 1.1216,                0.91368,                 1.5514,               0.008218,               0.008218,               0.008218
                     38,                  1.379,                 1.4508,                 1.3224,                 1.5543,                0.86264,                0.78154,                0.86854,                0.58716,                0.85569,                0.76973,                0.84795,                0.52573,                 1.1123,                 1.1347,                0.92428,                 1.5346,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.3885,                 1.4548,                  1.325,                 1.5558,                0.83251,                0.80444,                0.86892,                0.58745,                0.82233,                0.78781,                0.85061,                0.52788,                 1.1231,                 1.1273,                0.92926,                 1.5432,               0.008119,               0.008119,               0.008119
                     40,                 1.3878,                  1.468,                 1.3232,                  1.558,                0.84941,                0.79503,                0.87214,                 0.5932,                0.84681,                0.77984,                0.85324,                0.53193,                 1.1173,                 1.1188,                0.90968,                 1.5356,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.3723,                 1.4444,                 1.3094,                 1.5494,                0.87882,                0.78849,                0.87652,                 0.5942,                0.87153,                0.78057,                0.85703,                0.53223,                 1.1053,                 1.1231,                0.89398,                 1.5284,                0.00802,                0.00802,                0.00802
                     42,                 1.3724,                  1.439,                 1.3025,                 1.5486,                0.88984,                0.77061,                0.87682,                0.59643,                0.87778,                0.76561,                0.85779,                0.53424,                 1.1131,                 1.1226,                0.89144,                 1.5304,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.3619,                 1.4288,                 1.2905,                 1.5345,                0.87076,                0.78669,                0.87599,                0.59311,                0.85875,                0.77534,                0.85174,                0.53005,                 1.1151,                 1.1053,                0.90517,                 1.5247,               0.007921,               0.007921,               0.007921
                     44,                 1.3573,                  1.422,                 1.2714,                  1.534,                0.87345,                0.78549,                0.87256,                0.59428,                0.86065,                0.77451,                0.85366,                0.53363,                 1.1077,                 1.1135,                0.88946,                 1.5164,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.3546,                 1.4134,                 1.2723,                 1.5302,                0.87049,                0.79876,                 0.8808,                0.60192,                0.86835,                0.78195,                 0.8605,                0.54135,                 1.0947,                 1.1107,                0.87621,                 1.5033,               0.007822,               0.007822,               0.007822
                     46,                  1.352,                 1.4236,                  1.253,                 1.5222,                0.85663,                 0.8149,                0.87975,                0.60013,                0.84724,                0.80527,                0.85948,                0.53694,                 1.1002,                 1.1309,                0.87269,                 1.5022,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.3517,                 1.4408,                 1.2513,                 1.5185,                0.85923,                0.82127,                0.88719,                0.60802,                0.85154,                0.81326,                0.87023,                0.54599,                 1.0931,                 1.1062,                0.85638,                 1.5015,               0.007723,               0.007723,               0.007723
                     48,                 1.3458,                 1.4032,                 1.2337,                 1.5186,                 0.8767,                 0.8079,                0.88645,                0.60769,                 0.8704,                 0.7929,                 0.8648,                0.54353,                 1.0996,                 1.1136,                0.85753,                 1.5068,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.3407,                 1.4121,                 1.2276,                 1.5098,                 0.8816,                0.80416,                  0.884,                0.60898,                   0.87,                0.79374,                0.86281,                0.54678,                 1.0934,                 1.1079,                0.86171,                 1.5001,               0.007624,               0.007624,               0.007624
                     50,                  1.336,                 1.3921,                 1.2176,                  1.502,                0.89646,                0.79152,                0.88764,                0.61298,                0.88661,                0.78334,                0.86928,                 0.5509,                 1.0793,                  1.118,                0.84429,                 1.4853,              0.0075745,              0.0075745,              0.0075745
                     51,                 1.3391,                 1.3965,                 1.2123,                 1.5066,                0.84343,                0.83293,                 0.8885,                0.61276,                0.84153,                0.81829,                0.87087,                0.54902,                 1.0852,                 1.1041,                0.84292,                 1.4888,               0.007525,               0.007525,               0.007525
